name,price,package_size,serving_size,calories_per_serving,calculated_calories,serves_about,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Polyunsaturated Fat,Monounsaturated Fat,Vitamin A,Vitamin C,Insoluble Fiber,Soluble Fiber,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Zinc,Pantothenic Acid,Phosphorus,Calories from Fat,Trans Fat 0g,† As prepared with unsalted butter and salt.,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
Tangy Turtles,$1.99,6.35 Oz,35 g,130.0,132.0,5,0 g,0 g,0 g,0 mg,0 mg,31 g,0 g,20 g,20 g,2 g,0 mcg,0 mg,0.1 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Key Lime Pie,$5.99,17 Oz,121 g,400.0,393.0,4,17 g,10 g,0 g,135 mg,240 mg,54 g,1 g,39 g,34 g,6 g,0.5 mcg,140 mg,0.9 mg,220 mg,,,,,,,,,,,,,,,,,,,,,
Patio Potato Chips,$2.69,6 Oz,28 g,140.0,148.0,6,8 g,0.5 g,0 g,0 mg,270 mg,17 g,1 g,1 g,1g,2 g,0 mcg,10 mg,0.5 mg,320 mg,,,,,,,,,,,,,,,,,,,,,
PICKLES SPICY KOSHER DILL,$2.99,18.6 Fl Oz,28 g/,5.0,4.0,9,0 g,0 g,0 g,0 mg,180 mg,1 g,1g g,0 g,0 g,0 g,0.0 mcg,10 mg,0.0 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Bloody Mary Salsa,$2.69,16 Oz,31 g,10.0,8.0,15,0 g,0 g,0 g,0 mg,105 mg,2 g,0 g,1 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Dill Pickle Hummus,$1.99,8 Oz,28 g,50.0,55.0,8,3.0 g,0 g,0 g,0 mg,170 mg,5 g,1 g,0 g,0 g,2 g,0.0 mcg,10 mg,0.4 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Banana Bread Mix,$2.99,15 Oz,47 g,250.0,168.0,9,0g,0g,0g,0mg,360mg,39g,1g,23g,19g,3g,0mcg,20mg,1mg,103mg,,,,,,,,,,,,,,,,,,,,,
Madeleine Cookies,$2.99,3.6 Oz,34 g,150.0,143.0,3,7 g,4.5 g,0 g,40 mg,65 mg,18 g,0 g,11 g,11 g,2 g,,,,,,,,,,,,,,,,,,,,,,,,,
Gluten Free Hamburger Buns,$4.99,11.08 Oz,79 g,220.0,230.0,4,6 g,0.5 g,0 g,0 mg,510 mg,39 g,2 g,6 g,6 g,5 g,0 mcg,40 mg,1.2 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Citrus Mousse Cakes,$3.49,5 Oz,71 g,660.0,332.0,2,16 g,12 g,0 g,20 mg,130 mg,44 g,0 g,32 g,31 g,3 g,0.2 mcg,50 mg,0.1 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
"Sweet Corn, Burrata & Basil Ravioli",$3.99,8 Oz,105 g/,450.0,219.0,2,7 g,3.5 g,0 g,40 mg,450 mg,30 g,5 g,2 g,0 g,9 g,0 mcg,100 mg,1.5 mg,270 mg,,,,,,,,,,,,,,,,,,,,,
Organic Pitted Medjool Dates,$5.99,12 Oz,40 g,120.0,120.0,9,0 g,0 g,0 g,0 mg,0 mg,29 g,3 g,26 g,0 g,1 g,,,,,,,,,,,,,,,,,,,,,,,,,
Persian Cucumbers,$2.49,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veggie Kabobs,$5.99,12 Oz,85 g/,20.0,24.0,4,0 g,0 g,0 g,0 mg,0 mg,5 g,1 g,2 g,0 g,1 g,0 mcg,10 mg,0.3 mg,220 mg,,,,,,,,,,,,,,,,,,,,,
Organic Grass-Fed Uncured Beef Hot Dogs,$6.99,12 Oz,57 g,130.0,130.0,5,10 g,4.5 g,0 g,30 mg,310 mg,1 g,0 g,0 g,,9 g,,,,,,,,,,,,,,,,,,,,,90,,,,
Vegan Tzatziki Dip,$4.29,8 Oz,26 g,50.0,48.5,9,4.5 g,4.0 g,0 g,0 mg,130 mg,2 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Watermelon Fruit Spread,$2.99,10 Oz,18 g,30.0,32.0,16,0 g,0 g,0 g,0 mg,5 mg,8 g,0 g,8 g,7 g,0 g,0.0 mcg,20 mg,0.3 mg,10 mg,,,,15 mg,,,,,,,,,,,,,,,,,
Creamy Cauliflower Jalapeño Dip,$3.79,10 Oz,28 g,40.0,39.5,10,3.5 g,2.0 g,0 g,10 mg,120 mg,1 g,0 g,1 g,0 g,1 g,0 mcg,40 mg,0.1 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Super Sour Scandinavian Swimmers,$3.49,14 Oz,30 g,110.0,112.0,13,0 g,0 g,0 g,0 mg,20 mg,28 g,0 g,21 g,21 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
