,name,price,package_size,serving_size,calculated_calories,Total Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin D,Calcium,Iron,Potassium
428,Brookie Caramel Candy Clusters,$3.99,6 Oz,25 g,110.0,6 g,10 mg,105 mg,13 g,2 g,10 g,1 g,0.0 mcg,20 mg,0.9 mg,60 mg
429,Glazed Chocolate Donut Holes,$3.49,6 Oz,57 g,234.0,14 g,10 mg,200 mg,26 g,2 g,16 g,1 g,0.1 mcg,20 mg,1.4 mg,160 mg
430,Steamed Chicken Soup Dumplings,$3.49,6 Oz,170 g,243.0,7 g,45 mg,610 mg,29 g,1 g,3 g,16 g,,,,
431,Organic Roasted Vegetable Pizza,$4.99,16.08 Oz,152 g,979.0,31 g,30 mg,1990 mg,136 g,9 g,20 g,39 g,0.0 mcg,400 mg,3.1 mg,830 mg
432,Chocolatey Drizzled Strawberry Kettle Popcorn,$3.49,5 Oz,30 g,152.0,8 g,0 mg,40 mg,19 g,2 g,12 g,1 g,0.0 mcg,0 mg,0.6 mg,40 mg
433,Wild Caught Cod Fillets,$10.99,1 Lb,,0.0,,,,,,,,,,,
434,Blackened Salmon Seasoned Boneless Fillet,$10.99,1 Lb,113 g,231.0,15 g,60 mg,240 mg,1 g,0 g,0 g,23 g,12.1 mcg,20 mg,0.6 mg,390 mg
435,Joe's Os Cereal Bars,$2.99,4.23 Oz,24 g,122.0,6 g,0 mg,70 mg,14 g,3 g,7 g,3 g,0.0 mcg,10 mg,1.1 mg,70 mg
436,Brookie Caramel Candy Clusters,$3.99,6 Oz,25 g,110.0,6 g,10 mg,105 mg,13 g,2 g,10 g,1 g,0.0 mcg,20 mg,0.9 mg,60 mg
437,Glazed Chocolate Donut Holes,$3.49,6 Oz,57 g,234.0,14 g,10 mg,200 mg,26 g,2 g,16 g,1 g,0.1 mcg,20 mg,1.4 mg,160 mg
438,World's Puffiest Sour Cream & Onion Corn Puffs,$2.49,7 Oz,,0.0,,,,,,,,,,,
439,Piquant Popcorn,$2.99,5 Oz,28 g,139.0,7 g,0 mg,130 mg,15 g,3 g,0 g,4 g,0.0 mcg,0 mg,0.7 mg,120 mg
440,Spaghetti Carbonara,$4.29,16 Oz,140 g,274.0,14 g,45 mg,670 mg,26 g,2 g,4 g,11 g,0.0 mcg,170 mg,0.6 mg,150 mg
441,Vegan Pepperoni,$4.99,5 Oz,30 g,82.0,6 g,0 mg,310 mg,3 g,0 g,0 g,4 g,0.0 mcg,20 mg,0.2 mg,100 mg
442,Organic Garlic Bread,$3.99,12 Oz,56 g,161.0,5 g,0 mg,330 mg,25 g,2 g,0 g,4 g,0.0 mcg,10 mg,0.4 mg,50 mg
443,Yellow Cling Peach Halves,$4.79,24.7 Oz,,0.0,,,,,,,,,,,
444,Reduced Guilt Spinach & Kale Greek Yogurt Dip,$4.49,16 Oz,28 g,30.0,2.0 g,10 mg,150 mg,2 g,2 g,2 g,1 g,0.0 mcg,40 mg,0.2 mg,70 mg
445,Cauliflower Slims,$3.99,4.5 Oz,64 g,186.0,10 g,140 mg,520 mg,6 g,4 g,3 g,18 g,0 mcg,400 mg,1.6 mg,350 mg
446,Black Peppercorns with Grinder,$2.49,1.8 Oz,,0.0,,,,,,,,,,,
447,Pizza Party Potato Chips,$2.69,6 Oz,28 g,139.0,7 g,0 mg,130 mg,17 g,2 g,2 g,2 g,0.0 mcg,10 mg,0.6 mg,460 mg
448,Mini Mochi Rice Nuggets,$1.99,3.5 Oz,33 g,207.0,15 g,0 mg,105 mg,17 g,0 g,0 g,1 g,0.0 mcg,0 mg,0.0 mg,0 mg
449,Dolmas,$3.49,9.86 Oz,84 g,110.0,6 g,0 mg,420 mg,12 g,2 g,1 g,2 g,0.0 mcg,50 mg,0.8 mg,60 mg
450,French Vanilla Ice Cream,$4.49,1 Qt,140 g,329.0,21 g,130 mg,65 mg,30 g,0 g,28 g,5 g,1.0 mcg,150 mg,0.4 mg,140 mg
451,Finely Shredded Lite Mexican Style Cheese Blend,$3.99,12 Oz,28 g,76.0,4.0 g,15 mg,170 mg,2 g,0 g,0 g,8 g,0 mcg,250 mg,0 mg,20 mg
452,Colossal Olives Stuffed with Garlic Cloves,$4.49,16 Fl Oz,9.5 g,17.0,1 g,0 mg,150 mg,2 g,1 g,0 g,0 g,0.0 mcg,10 mg,0.0 mg,10 mg
453,Crunchy Peanut Butter Salted,$2.49,16 Oz,32 g,204.0,16 g,0 mg,140 mg,7 g,3 g,2 g,8 g,0.0 mcg,20 mg,0.5 mg,200 mg
454,The Dark Chocolate Lover's Chocolate Bar,$1.99,3.5 Oz,31 g,187.0,15 g,0 mg,0 mg,10 g,4 g,5 g,3 g,0.0 mcg,40 mg,0.6 mg,180 mg
455,Brownie Truffle Baking Mix,$3.79,16 Oz,28 g,181.0,9 g,40 mg,120 mg,23 g,1 g,16 g,2 g,0.2 mcg,10 mg,2.2 mg,150 mg
456,Black Garlic Cream Cheese Spread,$2.79,8 Oz,30 g,97.0,9 g,30 mg,170 mg,2 g,0 g,1 g,2 g,0.2 mcg,30 mg,0.1 mg,40 mg
457,Valentine Sprinkle,$1.99,3.5 Oz,4 g,16.0,0 g,0 mg,0 mg,4 g,0 g,3 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
458,Thai Peanut Satay Sauce,$2.29,8.1 Oz,34 g,84.5,4.5 g,0 mg,270 mg,9 g,2 g,5 g,2 g,0.0 mcg,10 mg,0.4 mg,80 mg
459,Egg Salad,$4.99,10 Oz,100 g,211.0,19 g,220 mg,330 mg,3 g,2 g,2 g,7 g,,,,
460,Snickerdoodle Cookies,$4.99,14 Oz,33 g,146.0,6 g,10 mg,220 mg,21 g,0 g,9 g,2 g,0.1 mcg,10 mg,0.1 mg,60 mg
461,Chocolatey Dipping Kit,$0.01,8 Oz,28 g,152.0,8 g,0 mg,10 mg,19 g,2 g,17 g,1 g,0.0 mcg,20 mg,0.9 mg,70 mg
462,Caramel Palmiers,$2.49,3.52 Oz,33 g,182.0,10 g,25 mg,150 mg,21 g,0 g,9 g,2 g,0.0 mcg,10 mg,0.2 mg,30 mg
463,Cinnamon Sugar Almonds,$3.99,8 Oz,30 g,152.0,8 g,0 mg,80 mg,18 g,0 g,17 g,2 g,0.0 mcg,40 mg,0.3 mg,90 mg
464,Calamansi & Mango Sorbet,$3.79,1 Pint,140 g,492.0,0 g,0 mg,35 mg,121 g,2 g,104 g,2 g,0.2 mcg,30 mg,0.2 mg,150 mg
465,Chocolate Cheesecake Bites,$4.99,8.2 Oz,232 g,873.0,49 g,160 mg,610 mg,95 g,5 g,62 g,13 g,0.6 mcg,120 mg,5.2 mg,530 mg
466,Beer Bread Mix,$2.99,19 Oz,30 g,135.5,3.5g,5mg,260mg,24g,2g,5g,2g,0.0mcg,10mg,1.2mg,30mg
467,Creamy Spinach & Artichoke Dip,$3.79,8.8 Oz,30 g,43.0,3.0 g,10 mg,125 mg,2 g,0 g,0 g,2 g,0.0 mcg,50 mg,0.2 mg,80 mg
468,Dark Chocolate Covered Cherries,$5.99,12 Oz,30 g,143.0,7 g,0 mg,0 mg,19 g,2 g,15 g,1 g,0.0 mcg,20 mg,2.2 mg,130 mg
469,Sea Scallops,$17.99,16 Oz,113 g,96.0,0 g,30 mg,160 mg,3 g,0 g,0 g,21 g,0.0 mcg,10 mg,0.0 mg,420 mg
470,Aglio Olio Seasoning Blend,$2.49,1.7 Oz,1 g,0.0,0 g,0 mg,115 mg,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.1 mg,10 mg
471,Kanom Krok Thai Coconut Pancakes,$3.29,6.35 Oz,180 g,447.0,23 g,0 mg,450 mg,56 g,2 g,15 g,4 g,0.0 mcg,10 mg,1.1 mg,270 mg
472,Jalapeño & Cream Cheese Crispy Wontons,$4.99,7.5 Oz,89 g,738.0,46 g,80 mg,1110 mg,65 g,6 g,6 g,16 g,0.0 mcg,160 mg,1.2 mg,290 mg
473,Garlic Shiitake Green Beans,$2.69,10.58 Oz,110 g,194.0,6 g,0 mg,1070 mg,29 g,10 g,14 g,6 g,0.0 mcg,110 mg,2.2 mg,570 mg
474,Spring Rolls with Tofu,$5.49,7 Oz,198 g,274.0,10 g,0 mg,300 mg,38 g,1 g,8 g,8 g,0.0 mcg,90 mg,2.5 mg,170 mg
475,Spring Rolls with Shrimp,$5.99,7 Oz,198 g,246.0,6 g,60 mg,370 mg,38 g,3 g,10 g,10 g,0.0 mcg,80 mg,1.6 mg,190 mg
476,A Handful of Tiny Dark Chocolate Covered Pretzels,$1.19,2.5 Oz,28 g,356.0,16 g,10 mg,370 mg,48 g,5 g,25 g,5 g,0.0 mcg,20 mg,2.6 mg,260 mg
477,Brown Sugar Cardamom Buns,$4.49,8.46 Oz,120 g,894.0,42 g,30 mg,620 mg,119 g,5 g,64 g,10 g,1.2 mcg,110 mg,0.0 mg,310 mg
478,Uncured Pastrami,$6.49,8 Oz,56 g,74.0,2.0 g,30 mg,440 mg,2 g,2 g,0 g,12 g,0.0 mcg,20 mg,1.1 mg,460 mg
479,Double Cream Brie,$7.99,1 Lb,28 g,110.0,10g,25mg,200mg,0g,0g,0g,5g,,,,
480,Organic Seeded Bread,$3.69,24 Oz,43 g,149.0,5 g,0 mg,210 mg,20 g,3 g,4 g,6 g,0.3 mcg,60 mg,1.3 mg,120 mg
481,,,,,0.0,,,,,,,,,,,
482,Chocolate Almond Biscotti,$4.79,8 Oz,28 g,111.5,3.5 g,15 mg,60 mg,18 g,1 g,10 g,2 g,0.0 mcg,10 mg,0.8 mg,50 mg
483,Rosatella Pasta Sauce,$3.99,14.5 Oz,125 g,170.0,14 g,30 mg,640 mg,8 g,2 g,4 g,3 g,,,,
484,Bourbon Vanilla Bean Paste,$4.99,4 Oz,5 g,12.0,0 g,0 mg,0 mg,3 g,0 g,3 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
485,Baingan Bharta,$3.49,10 Oz,142 g,331.0,23 g,0 mg,920 mg,26 g,11 g,13 g,5 g,0.0 mcg,130 mg,2.0 mg,690 mg
486,Jersey Gouda,$12.99,1 Lb,28 g,127.0,11 g,30 mg,210 mg,0 g,0 g,0 g,7 g,0.0 mcg,200 mg,0.0 mg,20 mg
487,Pita Bite Crackers,$2.99,6 Oz,30 g,128.0,4.0 g,0 mg,150 mg,20 g,2 g,2 g,3 g,0.0 mcg,10 mg,1.3 mg,40 mg
488,Italian Bomba Hot Pepper Sauce,$3.49,6.7 Oz,28 g,58.0,6 g,0 mg,190 mg,1 g,0 g,2 g,0 g,0.0 mcg,10 mg,0.1 mg,40 mg
489,Organic Ancient Grain & Seed Bread,$3.99,20 Oz,27 g,73.5,1.5 g,0 mg,90 mg,12 g,2 g,2 g,3 g,0.0 mcg,20 mg,0.7 mg,60 mg
490,Icelandic Style Skyr Lowfat Raspberry Yogurt,$1.19,5.3 Oz,150 g,122.0,2.0 g,15 mg,50 mg,11 g,0 g,7 g,15 g,0.0 mcg,150 mg,0.1 mg,170 mg
491,Icelandic Style Skyr Lowfat Cherry Yogurt,$1.19,5.3 Oz,150 g,130.0,2.0 g,15 mg,50 mg,12 g,0 g,7 g,16 g,0.0 mcg,190 mg,0.0 mg,210 mg
492,Icelandic Style Skyr Lowfat Vanilla Yogurt,$1.19,5.3 Oz,150 g,126.0,2.0 g,15 mg,50 mg,12 g,0 g,8 g,15 g,0.0 mcg,190 mg,0.0 mg,200 mg
493,Chicken Meatballs,$3.99,12 Oz,85 g,153.0,9 g,80 mg,300 mg,2 g,0 g,0 g,16 g,0.0 mcg,20 mg,1.3 mg,480 mg
494,Tarte aux Champignons,$4.79,9.52 Oz,135 g,576.0,24 g,50 mg,1270 mg,71 g,5 g,7 g,19 g,0.0 mcg,350 mg,0.0 mg,340 mg
495,"Shaved Parmesan, Romano & Asiago Cheeses",$3.49,5 Oz,5 g,17.5,1.5 g,10 mg,50 mg,0 g,0 g,0 g,1 g,0.0 mcg,50 mg,0.0 mg,10 mg
496,Organic Brown Rice & Quinoa Fusilli Pasta,$3.49,16 Oz,56 g,201.5,1.5 g,0 mg,0 mg,43 g,2 g,2 g,4 g,0.0 mcg,10 mg,1.1 mg,160 mg
497,Meyer Lemons,$1.99,1 Lb,,0.0,,,,,,,,,,,
498,"Grapefruit, 5lb bag",$5.99,5 Lb,,0.0,,,,,,,,,,,
499,Sweet & Salty Umami Crunchies Rice Crackers,$2.99,6.35 Oz,28 g,157.0,9 g,0 mg,230 mg,17 g,0 g,3 g,2 g,0.0 mcg,0 mg,0.0 mg,20 mg
500,All Natural Shaved Beef Steak,$10.99,1 Lb,112 g,201.0,13g,75mg,85mg,0g,0g,0g,21g,0mcg,10mg,2.5mg,340mg
501,Double Cream Gouda Cheese,$9.99,1 Lb,28 g,109.0,9g,30mg,200mg,2g,0g,0g,5g,,,,
502,Feta Cheese,$3.49,8 Oz,28 g,60.5,4.5 g,20 mg,310 mg,0 g,0 g,0 g,5 g,0.0 mcg,80 mg,0.0 mg,30 mg
503,Almost Everything Bagels,$2.69,22 Oz,104 g,257.0,1 g,0 mg,480 mg,52 g,2 g,5 g,10 g,0.0 mcg,36 mg,3 mg,115 mg
504,Papadums Lentil and Chickpea Crisps,$2.69,5 Oz,28 g,144.0,8 g,0 mg,210 mg,13 g,3 g,1 g,5 g,0.0 mcg,30 mg,1.1 mg,250 mg
505,Sweetened Green Mango,$2.49,6 Oz,40 g,140.0,0 g,0 mg,60 mg,35 g,1 g,28 g,0 g,0.0 mcg,40 mg,0.2 mg,20 mg
506,Fruits & Greens Smoothie Blend,$3.99,16 Oz,140 g,88.5,0.5 g,0 mg,15 mg,19 g,4 g,12 g,2 g,0.0 mcg,40 mg,0.8 mg,310 mg
507,Plain Bagels,$2.69,22 Oz,104 g,265.0,1.0 g,0 mg,310 mg,53 g,2 g,4 g,11 g,0.0 mcg,40 mg,3.1 mg,80 mg
508,Tofu Sheets,$2.99,6.35 Oz,90 g,298.0,14 g,0 mg,25 mg,13 g,0 g,4 g,30 g,0.0 mcg,70 mg,3.4 mg,410 mg
509,Tortilla Española,$5.49,21.16 Oz,100 g,143.0,7 g,145 mg,320 mg,15 g,2 g,2 g,5 g,0.2 mcg,30 mg,0.8 mg,320 mg
510,Rice Vinegar,$2.49,16.9 Fl Oz,15 mL,0.0,0 g,,0 mg,0 g,,,0 g,,,,
511,Spicy Peanutty Noodle Bowl with Chicken,$3.49,10.8 Oz,306 g,503.0,23 g,35 mg,820 mg,55 g,4 g,15 g,19 g,0.1 mcg,70 mg,13.0 mg,490 mg
512,Organic Ground Black Pepper,$1.99,2 Oz,,0.0,,,,,,,,,,,
513,Sea Salt Fine Crystals,$1.99,26.5 Oz,1.5 g,0.0,0 g,0 mg,590 mg,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
514,Wild Sockeye Smoked Salmon,$7.99,4 Oz,57 g,149.0,5 g,30 mg,1470 mg,0 g,0 g,0 g,26 g,35.4 mcg,10 mg,0.4 mg,470 mg
515,Whipped Cream Cheese,$2.29,8 Oz,20 g,71.0,7 g,20 mg,70 mg,1 g,0 g,2 g,1 g,0 mcg,0 mg,0 mg,0 mg
516,Cream Cheese,$1.99,8 Oz,28 g,93.0,9 g,30 mg,95 mg,2 g,0 g,1 g,1 g,0 mcg,27 mg,0 mg,0 mg
517,Everything Bagels,$2.99,18 Oz,,0.0,,,,,,,,,,,
518,Plain Bagels,$2.49,18 Oz,,0.0,,,,,,,,,,,
519,Cinnamon Raisin Bagels,$2.49,18 Oz,,0.0,,,,,,,,,,,
520,Cinnamon Swirl Raisin Bagels,$2.99,18 Oz,85 g,240.5,0.5 g,0 mg,330 mg,51 g,3 g,12 g,8 g,0.0 mcg,80 mg,2.5 mg,140 mg
521,Challah Braided Egg Bread,$3.29,16 Oz,,0.0,,,,,,,,,,,
522,Petit Fours Mousse Cakes,$4.99,7 Oz,198 g,1253.0,73 g,85 mg,640 mg,140 g,4 g,78 g,9 g,0.6 mcg,150 mg,3.5 mg,170 mg
523,Apple Tatin Tartelettes,$4.99,10.58 Oz,150 g,430.0,14 g,40 mg,80 mg,73 g,5 g,54 g,3 g,0.0 mcg,20 mg,0.3 mg,240 mg
524,,$3.99,8.8 Oz,,0.0,,,,,,,,,,,
525,Beef Bulgogi,$11.99,16 Oz,140 g,280.0,16 g,65 mg,740 mg,13 g,0 g,9 g,21 g,0.1 mcg,20 mg,2.5 mg,280 mg
526,Hardwood Smoked Pulled Chicken,$8.99,16 Oz,84 g,110.0,2.0 g,70 mg,200 mg,2 g,0 g,0 g,21 g,0.0 mcg,0 mg,0.4 mg,280 mg
527,Meatless Breakfast Sausage Patties,$3.99,8 Oz,38 g,71.0,3.0 g,0 mg,210 mg,4 g,2 g,0 g,7 g,0.0 mcg,30 mg,0.9 mg,160 mg
528,Italian Tiramisu,$4.49,13.05 Oz,185 g,799.0,47 g,605 mg,360 mg,72 g,4 g,41 g,22 g,1.0 mcg,200 mg,3.3 mg,610 mg
529,Vegan Heavy Whipping Cream Alternative,$3.99,16.9 Fl Oz,15 mL,40.5,4.5 g,0 mg,5 mg,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
530,Gluten Free Candy Cane Joe-Joe's,$4.49,12 Oz,26 g,129.0,5 g,0 mg,75 mg,19 g,2 g,11 g,2 g,0.0 mcg,0 mg,0.6 mg,40 mg
531,Dark Chocolate Stars,$4.99,16 Oz,30 g,155.0,7g,0mg,55mg,21g,1g,11g,2g,0mcg,10mg,2.1mg,90mg
532,Cranberry Butter Cookies,$2.99,4.93 Oz,28 g,138.0,6 g,15 mg,50 mg,19 g,0 g,9 g,2 g,0.2 mcg,10 mg,0.3 mg,30 mg
533,Scalloped Cracker Trio,$3.99,16.4 Oz,28 g,125.0,5 g,0 mg,200mg,18 g,2 g,2 g,2 g,0.0 mcg,10 mg,1.0 mg,40mg
534,Uncured Bacon Porchetta Pork Roast,$8.49,1 Lb,,0.0,,,,,,,,,,,
535,Josie's Mandarins,$3.49,2 Lb,,0.0,,,,,,,,,,,
536,Vegan Gingerbread Loaf,$2.99,15 Oz,56 g/,172.0,4.0 g,0 mg,280 mg,32 g,1 g,17 g,2 g,,,,
537,Olive Fougasse,$3.49,12 Oz,56 g/,130.0,2.0 g,0 mg,340 mg,24 g,1 g,0 g,4 g,0.0 mcg,10 mg,1.9 mg,40 mg
538,Pecan Pie,$9.99,24 Oz,,0.0,,,,,,,,,,,
539,Mini Cranberry Pistachio Biscotti,$4.49,9 Oz,32 g,128.5,4.5 g,20 mg,40 mg,20 g,2 g,12 g,2 g,0.1 mcg,10 mg,0.7 mg,50 mg
540,Gingerbread House Kit,$8.99,26.4 Oz,30 g,130.0,2.0 g,0 mg,0 mg,27 g,2g g,20 g,1 g,0.2 mcg,0 mg,0.2 mg,20 mg
541,Astouding Multi-flavor Mini Pretzels,$7.99,16 Oz,32 g,159.0,7 g,0 mg,170 mg,22 g,1 g,13 g,2 g,0.0 mcg,20 mg,1.0 mg,100 mg
542,Peppermint Flavored Baking Chips,$3.49,10 Oz,15 g,80.0,4.0 g,0 mg,5 mg,11 g,0 g,10 g,0 g,0.0 mcg,10 mg,0.0 mg,20 mg
543,Dark Chocolate Covered Peppermint Cremes,$3.99,7 Oz,26 G,115.5,3.5 g,0 mg,20 mg,20 g,2 g,20 g,1 g,0.0 mcg,0 mg,0.6 mg,0 mg
544,Scandinavian Tidings,$3.49,14 Oz,30 g,104.0,0 g,0 mg,20 mg,26 g,0 g,19 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
545,Taste Test of Caramels,$6.99,6.56 Oz,31 g,161.0,9g,0mg,25mg,18g,2g,16g,2g,0mcg,30mg,2mg,120mg
546,Family Style Meat Lasagna,$6.99,32 Oz,227 g,314.0,14 g,55 mg,720 mg,26 g,2 g,5 g,21 g,0.1 mcg,250 mg,1.6 mg,460 mg
547,Mini Quiche Duo,$4.79,8.9 Oz,84 g,775.0,47 g,230 mg,1280 mg,63 g,2 g,6 g,25 g,0.9 mcg,290 mg,4.1 mg,400 mg
548,Cinnamon Bun Inspired Pancake & Waffle Mix,$3.99,16 Oz,50 g,300.0,12 g,80 mg,540 mg,40 g,1 g,14 g,8 g,0.8 mcg,130 mg,1.8 mg,160 mg
549,Blue Cheese Stuffed Chalkidiki Olives,$6.99,22.9 Oz,15 g,22.5,2.5 g,10 mg,130 mg,0 g,0 g,0 g,0 g,0.0 mcg,20 mg,0.0 mg,0 mg
550,Pretzel Bread Pudding,$4.49,7.6 Oz,108 g,652.0,32 g,140 mg,1220 mg,81 g,2 g,47 g,10 g,0.4 mcg,120 mg,2.8 mg,160 mg
551,Stollen Crisps,$4.29,5.3 Oz,30 g,80.5,0.5 g,0 mg,100 mg,17 g,0 g,10 g,2 g,0.0 mcg,20 mg,0.4 mg,10 mg
552,Figgy Cheddar,$10.99,1 Lb,28 g,113.0,9g,20mg,190mg,2g,0g,1g,6g,0.1mcg,200mg,0.1mg,30mg
553,Dolce Creamy Gorgonzola Style Cheese,$4.99,8 Oz,28 g,104.0,8 g,20 mg,140 mg,2 g,0 g,0 g,6 g,0.0 mcg,120 mg,0.0 mg,30 mg
554,Chicken Shawarma Bowl,$3.99,11.3 Oz,320 g,396.0,12 g,45 mg,720 mg,52 g,4 g,3 g,20 g,0.4 mcg,90 mg,1.6 mg,540 mg
555,Raspberry Croissant Carré,$5.99,11.29 Oz,53 gg,166.0,6 g,20 mg,170 mg,25 g,2 g,12 g,3 g,0.1 mcg,20 mg,0.3 mg,50 mg
556,Gran Capitan Hard Cheese with Black Olive Paste,$13.99,1 Lb,,0.0,,,,,,,,,,,
557,Empanadas de Ropa Vieja,$5.99,9.6 Oz,68 g,164.0,8 g,15 mg,300 mg,18 g,1 g,2 g,5 g,0.0 mcg,10 mg,0.7 mg,170 mg
558,Fresh Cranberries,$2.29,12 Oz,,0.0,,,,,,,,,,,
559,Organic Ground Cinnamon,$1.99,1.5 Oz,,0.0,,,,,,,,,,,
560,Cinnamon Sticks,$2.99,1 Oz,0.5 g,0.0,0g,,0mg,0g,,,0g,,,,
561,Petite Peas,$1.79,16 Oz,,0.0,,,,,,,,,,,
562,Aged Sheep's Milk Cheese Marinated in EVOO,$5.99,6 Oz,28 g,118.0,10 g,25 mg,160 mg,0 g,0 g,0 g,7 g,0.1 mcg,210 mg,0.0 mg,20 mg
563,Fully Cooked Spiral Sliced Uncured Half Ham,$5.99,1 Lb,84 g,126.0,6 g,45 mg,690 mg,4 g,0 g,3 g,14 g,0.4 mcg,10 mg,0.7 mg,480 mg
564,Finocchiona Uncured Salami,$5.99,5.3 Oz,30 g,106.0,6 g,40 mg,620 mg,2 g,0 g,0 g,11 g,0.3 mcg,10 mg,0.7 mg,190 mg
565,Spanish Style Uncured Chorizo,$5.99,5.3 Oz,30 g,111.0,7 g,35 mg,590 mg,2 g,2 g,0 g,10 g,0.4 mcg,10 mg,0.8 mg,210 mg
566,Organic Conversation Olive Trio,$3.49,12.35 Oz,16 g,22.0,2.0 g,0 mg,120 mg,1 g,2 g,0 g,0 g,0.0 mcg,10 mg,0.0 mg,10 mg
567,Non-Dairy Cinnamon Bun Oat Creamer,$1.99,16 Fl Oz,15 mL,20.5,0.5 g,0 mg,25 mg,4 g,0 g,4 g,0 g,0.0 mcg,0 mg,0.0 mg,10 mg
568,Christmas Sprinkle,$1.99,3.5 Oz,4 g,16.0,0 g,0 mg,0 mg,4 g,0 g,4 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
569,Chocolatey Dipped Danish Cookies,$5.99,8.465 Oz,40 g,183.0,11 g,15 mg,30 mg,19 g,1 g,17 g,2 g,,,,
570,Holiday Cheer Unexpected Cheddar Cheese Spread,$4.99,9 Oz,28 g,90.0,6 g,25 mg,190 mg,5 g,0 g,3 g,4 g,0.1 mcg,140 mg,0.1 mg,180 mg
571,Herbes de Provence Potato Wedges,$3.79,16 Oz,112 g/,187.0,11 g,0 mg,115 mg,19 g,3 g,2 g,3 g,0.0 mcg,20 mg,0.9 mg,720 mg
572,The Milk Chocolate Coin,$1.99,3.17 Oz,30 g,170.0,10 g,10mg mg,20 mg,18 g,2 g,16 g,2 g,0.1 mcg,60 mg,0.9 mg,100 mg
573,Organic Cranberries,$2.99,12 Oz,,0.0,,,,,,,,,,,
574,Thanksgiving Stuffing Seasoned Popcorn,$2.99,5 Oz,30 g,161.0,9 g,0 mg,290 mg,17 g,4 g,2 g,3 g,0.0 mcg,10 mg,1.1 mg,90 mg
575,Baked Pizza Flavored Pillow Crisps,$1.99,3.5 Oz,30 g,123.0,3.0 g,0 mg,260 mg,20 g,1 g,0 g,4 g,0.0 mcg,10 mg,0.4 mg,80 mg
576,Butter Toffee Pretzels,$3.49,10 Oz,28 g,135.0,7 g,15 mg,230 mg,17 g,0 g,7 g,1 g,0 mcg,0 mg,0.5 mg,30 mg
577,Triple Ginger Snaps,$4.79,14 Oz,30 g,116.5,4.5 g,15 mg,180 mg,18 g,0 g,9 g,1 g,0.0 mcg,4 mg,1 mg,9 mg
578,Classic Bitters,$4.99,3.38 Fl Oz,,0.0,,,,,,,,,,,
579,Organic Pumpkin,$2.49,15 Oz,,0.0,,,,,,,,,,,
580,Apple Blossoms,$2.49,8 Oz,114 g,669.0,33 g,15 mg,590 mg,85 g,4 g,32 g,8 g,0.1 mcg,20 mg,3.1 mg,200 mg
581,Roasted Cauliflower and Orzo,$5.99,17 Oz,230 g,612.0,24g,35mg,1180mg,75g,8g,17g,24g,0mcg,440mg,4.8mg,880mg
582,Cornbread Mix,$2.99,15 Oz,,0.0,,,,,,,,,,,
583,Organic Farfalle Rigate Pasta,$1.99,1 Lb,56 g,192.5,0.5 g,0 mg,0 mg,40 g,2 g,1 g,7 g,0.0 mcg,10 mg,0.6 mg,140 mg
584,Dutch Griddle Cakes,$3.49,14.11 Oz,100 g,349.0,21 g,60 mg,280 mg,34 g,1 g,15 g,6 g,0.0 mcg,80 mg,0.7 mg,130 mg
585,Peanut Butter Overnight Oats,$1.99,5.5 Oz,156 g,274.0,10 g,0 mg,210 mg,34 g,6 g,13 g,12 g,0.0 mcg,30 mg,1.5 mg,290 mg
586,Apple Overnight Oats,$1.99,5.5 Oz,156 g,246.0,6 g,0 mg,190 mg,42 g,5 g,21 g,6 g,0.0 mcg,50 mg,1.8 mg,330 mg
587,Mashed Sweet Potatoes,$2.99,18 Oz,140 g,108.0,0 g,0 mg,40 mg,25 g,4 g,8 g,2 g,0.0 mcg,40 mg,1.0 mg,320 mg
588,Sweetened Dried Cranberries,$1.99,8 Oz,40 g,140.0,0 g,0 mg,0 mg,35 g,2 g,27 g,0 g,0.0 mcg,0 mg,0.1 mg,20 mg
589,1000 Day Gouda Cheese,$12.99,1 Lb,28 g,122.0,10g,30mg,270mg,0g,0g,0g,8g,,,,
590,Ciabatta Rolls,$1.99,12 Oz,85 g,205.5,1.5 g,0 mg,460 mg,41 g,2 g,0 g,7 g,0.0 mcg,10 mg,2.8 mg,60 mg
591,Shredded Mozzarella Cheese,$4.49,16 Oz,28 g,81.0,5.0 g,15 mg,150 mg,1 g,0 g,0 g,8 g,0 mcg,210 mg,0 mg,20 mg
592,Roasted Hatch Chile & Jalapeño Cheese Dip,$4.99,10 Oz,28 g,61.0,5 g,15 mg,150 mg,2 g,0 g,2 g,2 g,0.2 mcg,50 mg,0.0 mg,40 mg
593,Kung Pao Brussels Sprouts,$5.99,14 Oz,110 g,117.0,5 g,0 mg,360 mg,15 g,3 g,7 g,3 g,0.0 mcg,40 mg,1.1 mg,360 mg
