,name,price,package_size,serving_size,calculated_calories,Total Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin D,Calcium,Iron,Potassium
81,Caesar Salad Dip,$3.69,8 Oz,28 g,75.0,7 g,10 mg,150 mg,1 g,0 g,2g,2 g,0.1 mcg,60 mg,0.2 mg,40 mg
82,Rum Balls,$4.49,7.93 Oz,25 g,100.0,4.0 g,0 mg,55 mg,14 g,1 g,9 g,2g,0.0 mcg,0 mg,0.9 mg,60 mg
83,Premium Angus Beef Boneless Rib Roast,$13.99,1 Lb,112 g,273.0,21 g,80 mg,55 mg,0 g,0 g,0 g,21 g,0.1 mcg,10 mg,1.9 mg,260 mg
84,Cashel Blue® Cheese Irish Potato Chips,$2.99,5.5 Oz,28 g,158.0,10 g,0 mg,230 mg,15 g,1 g,2g,2 g,0.0 mcg,0 mg,0.4 mg,320 mg
85,Lemon Stuffed Olives,$2.99,12 Oz,16 g,30.5,2.5 g,0 mg,190 mg,2g,0 g,0 g,0 g,0.0 mcg,10 mg,0.1 mg,10 mg
86,English Toffee Ice Cream,$3.79,1 Pint,123 g,1009.0,61 g,220 mg,360 mg,103 g,2 g,92 g,12 g,2.2 mcg,380 mg,0.8 mg,380 mg
87,Whipt™ Plant Based Dairy Free Whipped Coconut,$3.99,6.5 Oz,,0.0,,,,,,,,,,,
88,British Shortbread Cookie Collection,$7.99,10.58 Oz,30 g,156.0,8g,20mg,115mg,19g,2g,7g,2g,0.1mcg,10mg,0.2mg,30mg
89,Spiced Cranberry Granola,$3.99,12 Oz,65 g,285.0,9 g,0 mg,115 mg,46 g,5 g,17 g,5 g,0.0 mcg,30 mg,1.7 mg,140 mg
90,Peppermint Crunch Popcorn,$1.99,6 Oz,33 g,147.0,3.0 g,0 mg,95 mg,28 g,2g,21 g,2g,0.0 mcg,0 mg,0.3 mg,30 mg
91,Peppermint Pretzel Slims,$3.49,6 Oz,30 g,141.0,5g,0mg,120mg,22g,0g,13g,2g,0mcg,30mg,0.5mg,60mg
92,Festive Chaos of Gummy Candy,$5.49,20 Oz,33 g,108.0,0 g,0 mg,0 mg,25 g,0 g,21 g,2 g,0.0 mcg,0 mg,0.0 mg,0 mg
93,English Fudge Collection,$5.49,9.52 Oz,26 g,116.0,4.0 g,0 mg,60mg,20g,0 g,19g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
94,Dark Chocolate Dipped Candy Cane Marshmallows,$3.49,4.7 Oz,33 g,143.5,3.5 g,0 mg,15 mg,26 g,2g,19 g,2g,0.0 mcg,0 mg,0.4 mg,50 mg
95,Cocoa Truffles Collection,$4.99,7.6 Oz,28 g,168.0,12 g,0 mg,20 mg,14 g,1 g,11 g,1 g,0.7 mcg,20 mg,2.5 mg,200 mg
96,Candy Cane Baton Wafer Cookies,$1.99,5 Oz,28 g,132.5,4.5 g,0 mg,70 mg,21 g,2g,12 g,2g,0.5 mcg,10 mg,0.1 mg,50 mg
97,Turkey Harvest Salad,$5.99,10 Oz,100 g,613.0,41g,25mg,270mg,42g,9g,19g,19g,0mcg,150mg,3.7mg,1050mg
98,Crunchy Milk Chocolate Hazelnut Pralines,$1.99,5.28 Oz,25 g,133.0,9 g,10mg,20 mg,11 g,1 g,8 g,2 g,0.2 mcg,30 mg,1.1 mg,130 mg
99,Vegetable Root Chips,$2.99,7.5 Oz,28 g per,147.0,7 g,0 mg,85 mg,19 g,2 g,2 g,2 g,0.0 mcg,30 mg,0.3 mg,280 mg
100,Sugared Rice Cracker Stars,$1.99,6.35 Oz,28 g,104.0,0 g,0 mg,160 mg,25 g,0 g,9 g,1 g,0.0 mcg,0 mg,0.0 mg,10 mg
101,Shishito Crisps,$2.99,1.05 Oz,30 g,192.0,16g,0mg,25mg,10g,6g,1g,2g,0mcg,30mg,1.3mg,380mg
102,Phyllo Crisps,$2.99,2.8 Oz,32 g,394.0,22 g,50 mg,45 mg,42 g,4 g,26 g,7 g,0.0 mcg,40 mg,0.0 mg,260 mg
103,French Onion Popcorn,$2.69,5 Oz,30 g,182.0,14 g,0 mg,280 mg,12 g,2 g,1 g,2 g,0.0 mcg,20 mg,0.4 mg,60 mg
104,Festively Shaped Pretzels,$0.99,12 Oz,30 g,117.0,1.0 g,0 mg,280 mg,24 g,1 g,1 g,3 g,0.0 mcg,10 mg,1.5 mg,50 mg
105,Elevated Cracker Assortment,$7.99,12.7 Oz,30 g,149.0,5 g,15 mg,640 mg,22 g,1 g,11 g,4 g,0.0 mcg,30 mg,0.3 mg,130 mg
106,Cheddar & Parmesan Cheese Snackers,$1.99,2.64 Oz,30 g,399.0,23 g,65 mg,850 mg,40 g,2 g,2g,8 g,0.0 mcg,110 mg,0.7 mg,110 mg
107,Granny Smith Apple & Calvados Spirited Fruit Spread,$2.99,7.5 Oz,15 g,32.0,0 g,0 mg,5 mg,8 g,0 g,8 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
108,Mini Mushroom Tartelettes,$5.49,9 Oz,85 g,963.0,63 g,165 mg,1430 mg,75 g,5 g,5 g,24 g,0.9 mcg,280 mg,5.5 mg,540 mg
109,Garlic Gondolas,$3.99,8.8 Oz,125 g,672.0,16 g,25 mg,1430 mg,113 g,4 g,10 g,19 g,0.0 mcg,90 mg,2.0 mg,300 mg
110,Chao Tôm,$5.49,9.88 Oz,90 g,130.0,6 g,60 mg,720 mg,11 g,3 g,7 g,8 g,0.0 mcg,70 mg,0.0 mg,110 mg
111,Olive Tapenade Hummus,$3.49,10 Oz,28 g,51.0,3.0 g,0 mg,70 mg,4 g,1 g,0 g,2 g,0.0 mcg,10 mg,0.5 mg,40 mg
112,Daisy Brand Sour Cream,$3.99,16 Oz,,0.0,,,,,,,,,,,
