name,price,package_size,serving_size,calories_per_serving,calculated_calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Polyunsaturated Fat,Monounsaturated Fat,Vitamin A,Vitamin C,Insoluble Fiber,Soluble Fiber,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Zinc,Pantothenic Acid,Phosphorus,Calories from Fat,Trans Fat 0g,† As prepared with unsalted butter and salt.,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
Conversation Hearts Candies,$0.99,1.31 Oz,14 g,60.0,56.0,0 g,0 g,0 g,0 mg,0 mg,14 g,0 g,14 g,14 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Heart Shaped Macarons,$5.49,4.23 Oz,30 g,130.0,126.0,6 g,2.5 g,0 g,0 mg,15 mg,16 g,2 g,14 g,12 g,2 g,0.0 mcg,20 mg,0.3 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Covered Bon Bon Cookies,$2.99,3.52 Oz,30 g,170.0,158.0,10 g,7 g,0 g,10 mg,30 mg,16 g,1 g,13 g,12 g,1 g,0.0 mcg,10 mg,1.1 mg,140 mg,,,,,,,,,,,,,,,,,,,,,
Double Cream Brie,$4.49,8 Oz,28 g,110.0,110.0,10 g,6 g,0 g,25 mg,200 mg,0 g,0 g,0 g,0 g,5 g,0.0 mcg,130 mg,0.0 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Whipped Feta Spread,$3.99,8 Oz,28 g,70.0,74.0,6 g,3.0 g,0 g,15 mg,170 mg,1 g,0 g,0 g,0 g,4 g,0.0 mcg,50 mg,0.0 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Artichoke Bottoms,$2.99,14 Oz,110 g,40.0,48.0,0 g,0 g,0 g,0 mg,50 mg,9 g,4 g,0 g,0 g,3 g,0.0 mcg,20 mg,0.6 mg,270 mg,,,,,,,,,,,,,,,,,,,,,
Portuguese Donuts,$3.99,7.76 Oz,55 g,210.0,218.0,10 g,2.5 g,0 g,10 mg,150 mg,28 g,2 g,11 g,11 g,4 g,0.0 mcg,170 mg,3.2 mg,110 mg,,,,,,,,,,,,,,,,,,,,,
Sweet Ripe Plantains,$2.49,16 Oz,78 g,130.0,134.0,2.0 g,0 g,0 g,0 mg,0 mg,28 g,2 g,18 g,0 g,1 g,0.0 mcg,0 mg,0.0 mg,370 mg,,,,,,,,,,,,,,,,,,,,,
Kramer Farms Cage Free Hard-Boiled Eggs,$2.99,9.3 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar Cookie Dough Hearts,$3.99,10.8 Oz,26 g,110.0,109.0,5 g,2.5 g,0 g,20 mg,60 mg,15 g,0 g,8 g,8 g,1 g,0.0 mcg,20 mg,0.6 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Miso Ginger Broth,$2.49,32 Fl Oz,240 mL,10.0,8.0,0 g,0 g,0 g,0 mg,590 mg,1 g,0 g,0 g,0 g,1 g,0.0 mcg,10 mg,0.2 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Maître Pierre Tarte d' Alsace,$5.49,8 Oz,76 g,190.0,195.0,11g,6g,0g,40mg,400mg,17g,0g,1g,0g,7g,0mcg,97mg,1mg,64mg,,,,,,,,,,,,,,,,,,,,,
Chicken Shu Mai,$3.99,11 Oz,104 g,390.0,418.0,10 g,2.0 g,0 g,115 mg,2270 mg,49 g,3 g,17 g,13 g,33 g,0.1 mcg,50 mg,3.1 mg,570 mg,,,,,,,,,,,,,,,,,,,,,
Plain Pizza Dough,$1.49,16 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugared Rice Cracker Hearts,$1.99,6 Oz,28 g,110.0,108.0,0 g,0 g,0 g,0 mg,80 mg,25 g,0 g,6 g,6 g,2 g,0.0 mcg,0 mg,0.2 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
Chocolate & Peanut Butter Lover's Nut Mix,$5.49,12 Oz,30 g,160.0,167.0,11 g,2.5 g,0 g,0 mg,160 mg,13 g,2 g,5 g,4 g,4 g,0.1 mcg,30 mg,1.4 mg,130 mg,,,,,,,,,,,,,,,,,,,,,
Honey Roasted Macadamia Nuts & Cashews,$4.99,8 Oz,30 g,180.0,177.0,13 g,2.0 g,0 g,0 mg,60 mg,11 g,3 g,2 g,2 g,4 g,0.0 mcg,20 mg,1.3 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
Elevated Nut Mix,$5.99,9 Oz,30 g,180.0,191.0,15 g,2.0 g,0 g,0 mg,40 mg,10 g,5 g,1 g,0 g,4 g,0.0 mcg,30 mg,1.2 mg,170 mg,,,,,,,,,,,,,,,,,,,,,
Vegetable Dumplings,$3.99,10.58 Oz,75 g,120.0,123.0,3.0 g,0.5 g,0 g,0 mg,220 mg,22 g,1 g,2 g,1 g,2 g,0.1 mcg,20 mg,0.5 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Teriyaki Mushroom Mini Bao Buns,$4.79,9.52 Oz,90 g,190.0,196.5,4.5 g,3.0 g,0 g,0 mg,380 mg,34 g,1 g,8 g,6 g,5 g,0.0 mcg,60 mg,0.8 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Covered Caramels,$5.49,10 Oz,24 g,90.0,100.5,4.5 g,3.0 g,0 g,5 mg,55 mg,13 g,2g,12 g,7 g,2g,0.0 mcg,20 mg,0.8 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
Sprinkle Cake Bites,$3.99,8.47 Oz,30 g,120.0,124.0,4.0 g,1.5 g,0 g,0 mg,65 mg,20 g,0 g,13 g,13 g,2g,0.0 mcg,0 mg,0.1 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
