name,price,package_size,serving_size,calories_per_serving,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Includes,Protein,Vitamin D,Calcium,Iron,Potassium,Fiber,Polyunsaturated Fat,Monounsaturated Fat,Added Sugars,Sugars,Vitamin A,Vitamin C,Incldues,Toal Sugars,Insoluble Fiber,Soluble Fiber,Incoudes,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Includesq,Inculdes,Calckum,Total Carbodydrate,Incudes,Zinc,Pantothenic Acid,Total Carbohydrateq,Phosphorus,Caclium,Calories from Fat,includes,Trans Fat 0g,Total Carbodyrate,Included,Includes Added Sugars,Total Carbohyrate,† As prepared with unsalted butter and salt.,Sodim,Inclues,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
Crispy Potato & Poblano Pepper Tacos,$4.99,/11.64 Oz,1 taco(55g),120.0,6 g,2.5 g,0 g,0 mg,180 mg,17 g,1 g,1 g,0 g Added Sugars,2 g,0.0 mcg,20 mg,0.8 mg,80 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Chicken Nuggets,$3.99,/12 Oz,4 pieces(79g),170.0,11g,2.5g,0g,30mg,360mg,11g,less than 1g,0g,0 g Added Sugars,9g,0mcg,20mg,0.5mg,430mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sliced Bresaola Uncured Beef Prosciutto,$6.99,/3 Oz,5 slices(30g),180.0,4.5 g,1.5 g,0 g,80 mg,1550 mg,3 g,0 g,2 g,1 g Added Sugars,31 g,0.0 mcg,70 mg,3.0 mg,480 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Honey Mustard Dressing,$3.99,/12 Fl Oz,2 Tbsp.(30mL),140.0,13 g,1.0 g,0 g,0 mg,230 mg,6 g,0 g,5 g,5 g Added Sugars,less than 1g,0.0 mcg,20 mg,0.2 mg,30 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creamy Dreamy Hummus,$2.49,/8 Oz,2 Tbsp.(28g),50.0,3.0 g,0.5 g,0 g,0 mg,125 mg,4 g,1 g,less than 1g,0 g Added Sugars,2 g,0.0 mcg,10 mg,0.4 mg,50 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,$3.99,/8.8 Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Nova Style Smoked Sockeye Salmon,$13.99,/8 Oz,2 oz(56g),0.0,0.5 g,0 g,0 g,25 mg,540 mg,2 g,0 g,0 g,0 g Added Sugars,12 g,18.4 mcg,0 mg,0.1 mg,190 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Nova Style Smoked Sockeye Salmon,$21.99,/16 Oz,2 oz(56g),60.0,0.5 g,0 g,0 g,25 mg,540 mg,2 g,0 g,0 g,0 g Added Sugars,12 g,18.4 mcg,0 mg,0.1 mg,190 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Super Bread,$3.99,/18 Oz,2 slices(64g),240.0,13 g,1.5 g,0 g,0 mg,200 mg,24 g,5 g,3 g,1 g Added Sugars,9 g,0.0 mcg,70 mg,2.2 mg,270 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shredded Pepper Jack Cheese Blend,$3.99,/12 Oz,1/4 cup(28g),100.0,8 g,6 g,0 g,25 mg,190 mg,1 g,0 g,0 g,0 g Added Sugars,6 g,0.0 mcg,190 mg,0.0 mg,20 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Mustard Dill Sauce,$1.99,/6.34 Oz,2 Tbsp.(30g),110.0,9 g,0.5 g,0 g,0 mg,160 mg,8 g,0 g,7 g,7 g Added Sugars,less than 1 g,0.0 mcg,20 mg,0.3 mg,40 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
